im:name/label,rights/label,im:price/label,im:price/attributes/amount,im:price/attributes/currency,im:image/0/label,im:image/0/attributes/height,im:image/1/label,im:image/1/attributes/height,im:image/2/label,im:image/2/attributes/height,im:artist/label,im:artist/attributes/href,title/label,link/0/attributes/rel,link/0/attributes/type,link/0/attributes/href,id/label,id/attributes/im:id,id/attributes/im:bundleId,im:contentType/attributes/term,im:contentType/attributes/label,category/attributes/im:id,category/attributes/term,category/attributes/scheme,category/attributes/label,im:releaseDate/label,im:releaseDate/attributes/label,author/uri/label,author/name/label,author/label,im:version/label,im:rating/label,content/label,content/attributes/type,im:voteSum/label,im:voteCount/label
,,,,,,,,,,,,,越做越差 连清数据都必须删除应用,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488317056,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id344075678?l=en,创梦,,6.3.31,1,搞不懂开发人员怎么想的  居然关掉了清除数据功能,text,0,0
,,,,,,,,,,,,,好,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488314293,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id487810764?l=en,巧儿+96,,6.3.31,5,好,text,0,0
,,,,,,,,,,,,,更新后打开盆友圈多次无故假死,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488312187,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id306117868?l=en,不会摄影,,6.3.31,1,再也不会爱了……赶紧更新吧,text,0,0
,,,,,,,,,,,,,嗯,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488312293,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id531007529?l=en,我进了的经济计划和安排,,6.3.31,5,嗯把,text,0,0
,,,,,,,,,,,,,希望在不影响安全的前提下，能使用朋友发来的小视频到朋友圈,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488311011,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id535681822?l=en,菲菲@妞,,6.3.31,4,我是做私房烘焙的，需要大量资料，特别是小视频，想能把朋友共享的视频能发到朋友圈,text,0,0
,,,,,,,,,,,,,快点更新微信,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488310570,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id535681550?l=en,飞52004386_,,6.3.31,2,苹果6sp手机系统10.1.1昨天更新微信，现在朋友圈小视频无法正常播放，打开就卡住了，不打开可以播放，求微信快点更新。,text,0,0
,,,,,,,,,,,,,更新两次版本后仍没有捂脸等小表情,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488308594,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id252230006?l=en,tianchengdw,,6.3.31,1,希望微信团队尽快修复此bug,text,0,0
,,,,,,,,,,,,,新表情用不了,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488306606,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id212263399?l=en,maksulm,,6.3.31,1,已经更新到6.3.31了还是用不了……难道因为我从6p备份到7p出现了bug……,text,0,0
,,,,,,,,,,,,,消息不推送了！！！！,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488299317,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id404871696?l=en,山穷水绝处回眸一遍你,,6.3.31,1,只有点开微信才推送消息！错过了好多人的消息！,text,0,0
,,,,,,,,,,,,,霸王条款，缓存无法清理,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488295103,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id465525134?l=en,这软件真的有料,,6.3.31,1,真不知道这个版本的微信咋变得这么无耻，想清理缓存只能删除聊天记录？我聊天记录能有八九百兆？多余的那些缓存你告诉我要怎么清理啊，卧槽！,text,0,0
